number	plate	area	mean	IntDen	median	RawIntDen	length	seedling	genotype	KNO3	length_mm	PLATE	RawIntDen_norm_bckg	RawIntDen_normBackg_normLen	DAY
11	20240903_pnrt21_luc_1mM_N3_luc.tif:0238-0328	955	1265.616	1208663	1107	1208663	118.103	seedling11	pNRT2.1:LUC	1mM	29.52575	plate2	213915.1142	7245.035745	7d
12	20240903_pnrt21_luc_1mM_N3_luc.tif:0236-0352	899	1186.761	1066898	1089	1066898	111.646	seedling12	pNRT2.1:LUC	1mM	27.9115	plate2	130480.8802	4674.807167	7d
13	20240903_pnrt21_luc_1mM_N3_luc.tif:0235-0532	1104	1601.378	1767921	1186	1767921	138.375	seedling13	pNRT2.1:LUC	1mM	34.59375	plate2	617971.6115	17863.67802	7d
14	20240903_pnrt21_luc_1mM_N3_luc.tif:0243-0560	1163	1609.954	1872377	1177	1872377	145.565	seedling14	pNRT2.1:LUC	1mM	36.39125	plate2	660971.983	18162.93705	7d
15	20240903_pnrt21_luc_1mM_N3_luc.tif:0228-0577	958	1389.719	1331351	1131	1331351	118.674	seedling15	pNRT2.1:LUC	1mM	29.6685	plate2	333478.2517	11240.14533	7d
16	20240903_pnrt21_luc_1mM_N3_luc.tif:0364-0267	834	1264.727	1054782	1107	1054782	102.916	seedling16	pNRT2.1:LUC	1mM	25.729	plate2	186070.2337	7231.926376	7d
17	20240903_pnrt21_luc_1mM_N3_luc.tif:0376-0326	1089	1374.077	1496370	1125	1496370	135.944	seedling17	pNRT2.1:LUC	1mM	33.986	plate2	362044.9239	10652.76655	7d
18	20240903_pnrt21_luc_1mM_N3_luc.tif:0376-0467	1117	1465.448	1636905	1128	1636905	138.535	seedling18	pNRT2.1:LUC	1mM	34.63375	plate2	473414.5409	13669.16782	7d
19	20240903_pnrt21_luc_1mM_N3_luc.tif:0364-0516	1097	1500.9	1646487	1154	1646487	137.019	seedling19	pNRT2.1:LUC	1mM	34.25475	plate2	503828.9573	14708.29468	7d
20	20240903_pnrt21_luc_1mM_N3_luc.tif:0360-0580	936	1169.162	1094336	1081	1094336	116.383	seedling20	pNRT2.1:LUC	1mM	29.09575	plate2	119378.9098	4102.967265	7d
21	20240903_pnrt21_luc_1mM_N3_luc.tif:0419-0599	969	1043.715	1011360	1043	1011360	120.05	background		1mM	30.0125	plate2		0	7d
22	20240903_pnrt21_luc_1mM_N3_luc.tif:0413-0211	866	1041.194	901674	1042	901674	107.93	background		1mM	26.9825	plate2		0	7d
23	20240903_pnrt21_luc_1mM_N3_luc.tif:0421-0188	878	1039.953	913079	1040	913079	108.545	background		1mM	27.13625	plate2		0	7d
1	20240903_pnrt21_luc_10mM_N8_luc.tif:0129-0225	1188	1211.603	1439384	1068	1439384	147.677	seedling21	pNRT2.1:LUC	10mM	36.91925	plate3	205352.9847	5562.219838	7d
2	20240903_pnrt21_luc_10mM_N8_luc.tif:0117-0240	916	1184.271	1084792	1075	1084792	113.684	seedling22	pNRT2.1:LUC	10mM	28.421	plate3	133300.0724	4690.196419	7d
3	20240903_pnrt21_luc_10mM_N8_luc.tif:0118-0291	948	1249.489	1184516	1082	1184516	117.784	seedling23	pNRT2.1:LUC	10mM	29.446	plate3	199784.1797	6784.764645	7d
4	20240903_pnrt21_luc_10mM_N8_luc.tif:0119-0445	986	1368.788	1349625	1105	1349625	122.667	seedling24	pNRT2.1:LUC	10mM	30.66675	plate3	325420.8072	10611.51923	7d
5	20240903_pnrt21_luc_10mM_N8_luc.tif:0119-0516	995	1325.874	1319245	1098	1319245	123.692	seedling25	pNRT2.1:LUC	10mM	30.923	plate3	285692.0874	9238.821828	7d
6	20240903_pnrt21_luc_10mM_N8_luc.tif:0104-0526	764	1129.347	862821	1072	862821	94.475	seedling26	pNRT2.1:LUC	10mM	23.61875	plate3	69218.56258	2930.661554	7d
7	20240903_pnrt21_luc_10mM_N8_luc.tif:0248-0399	1067	1349.142	1439534	1128	1439534	132.752	seedling27	pNRT2.1:LUC	10mM	33.188	plate3	331191.3289	9979.249394	7d
