	sample	length_mm	Slice	seedling	genotype	Position	continued_growing	seedling_luc
6	Substack (1-122-2):0061-0334-0165:61	7.691	54	seedling6	pNRT2.1:LUC	Pos0	no	
7	Substack (1-122-2):0061-0389-0194:61	37.314	54	seedling7	pNRT2.1:LUC	Pos0	yes	seedling3
8	Substack (1-122-2):0061-0386-0232:61	37.716	54	seedling8	pNRT2.1:LUC	Pos0	yes	seedling4
9	Substack (1-122-2):0061-0326-0267:61	4.911	54	seedling9	pNRT2.1:LUC	Pos0	no	
10	Substack (1-122-2):0061-0332-0301:61	8.378	54	seedling10	pNRT2.1:LUC	Pos0	no	
11	Substack (1-122-2):0061-0363-0335:61	26.41	54	seedling11	pNRT2.1:LUC	Pos0	yes	seedling5
12	Substack (1-122-2):0061-0324-0369:61	7.02	54	seedling12	pNRT2.1:LUC	Pos0	no	
1	Substack (1-122-2):0061-0220-0092:61	29.381	53	seedling1	pNRT2.1:LUC	Pos0	yes	seedling1
2	Substack (1-122-2):0061-0208-0187:61	24.467	53	seedling2	pNRT2.1:LUC	Pos0	yes	seedling2
3	Substack (1-122-2):0061-0173-0324:61	7.158	53	seedling3	pNRT2.1:LUC	Pos0	no	
4	Substack (1-122-2):0061-0173-0358:61	6.702	53	seedling4	pNRT2.1:LUC	Pos0	no	
5	Substack (1-122-2):0061-0334-0096:61	7.79	53	seedling5	pNRT2.1:LUC	Pos0	no	
6	Substack (1-122-2):0061-0334-0165:61	7.691	53	seedling6	pNRT2.1:LUC	Pos0	no	
7	Substack (1-122-2):0061-0389-0194:61	36.987	53	seedling7	pNRT2.1:LUC	Pos0	yes	seedling3
8	Substack (1-122-2):0061-0386-0232:61	36.784	53	seedling8	pNRT2.1:LUC	Pos0	yes	seedling4
9	Substack (1-122-2):0061-0326-0267:61	4.911	53	seedling9	pNRT2.1:LUC	Pos0	no	
10	Substack (1-122-2):0061-0332-0301:61	8.378	53	seedling10	pNRT2.1:LUC	Pos0	no	
11	Substack (1-122-2):0061-0363-0335:61	25.787	53	seedling11	pNRT2.1:LUC	Pos0	yes	seedling5
12	Substack (1-122-2):0061-0324-0369:61	7.02	53	seedling12	pNRT2.1:LUC	Pos0	no	
1	Substack (1-122-2):0061-0220-0092:61	28.439	52	seedling1	pNRT2.1:LUC	Pos0	yes	seedling1
2	Substack (1-122-2):0061-0208-0187:61	23.327	52	seedling2	pNRT2.1:LUC	Pos0	yes	seedling2
3	Substack (1-122-2):0061-0173-0324:61	7.158	52	seedling3	pNRT2.1:LUC	Pos0	no	
4	Substack (1-122-2):0061-0173-0358:61	6.702	52	seedling4	pNRT2.1:LUC	Pos0	no	
5	Substack (1-122-2):0061-0334-0096:61	7.79	52	seedling5	pNRT2.1:LUC	Pos0	no	
6	Substack (1-122-2):0061-0334-0165:61	7.691	52	seedling6	pNRT2.1:LUC	Pos0	no	
7	Substack (1-122-2):0061-0389-0194:61	36.413	52	seedling7	pNRT2.1:LUC	Pos0	yes	seedling3
8	Substack (1-122-2):0061-0386-0232:61	35.653	52	seedling8	pNRT2.1:LUC	Pos0	yes	seedling4
9	Substack (1-122-2):0061-0326-0267:61	4.911	52	seedling9	pNRT2.1:LUC	Pos0	no	
10	Substack (1-122-2):0061-0332-0301:61	8.378	52	seedling10	pNRT2.1:LUC	Pos0	no	
11	Substack (1-122-2):0061-0363-0335:61	24.974	52	seedling11	pNRT2.1:LUC	Pos0	yes	seedling5
12	Substack (1-122-2):0061-0324-0369:61	7.02	52	seedling12	pNRT2.1:LUC	Pos0	no	
1	Substack (1-122-2):0061-0220-0092:61	27.72	51	seedling1	pNRT2.1:LUC	Pos0	yes	seedling1
2	Substack (1-122-2):0061-0208-0187:61	23.096	51	seedling2	pNRT2.1:LUC	Pos0	yes	seedling2
3	Substack (1-122-2):0061-0173-0324:61	7.158	51	seedling3	pNRT2.1:LUC	Pos0	no	
4	Substack (1-122-2):0061-0173-0358:61	6.702	51	seedling4	pNRT2.1:LUC	Pos0	no	
5	Substack (1-122-2):0061-0334-0096:61	7.79	51	seedling5	pNRT2.1:LUC	Pos0	no	
6	Substack (1-122-2):0061-0334-0165:61	7.691	51	seedling6	pNRT2.1:LUC	Pos0	no	
7	Substack (1-122-2):0061-0389-0194:61	35.911	51	seedling7	pNRT2.1:LUC	Pos0	yes	seedling3
8	Substack (1-122-2):0061-0386-0232:61	34.601	51	seedling8	pNRT2.1:LUC	Pos0	yes	seedling4
9	Substack (1-122-2):0061-0326-0267:61	4.911	51	seedling9	pNRT2.1:LUC	Pos0	no	
