Position	Slice	MeanBack	...1	sample	Area	Mean	IntDen	Median	RawIntDen	length	seedling	genotype	RawIntDen_NormBack	root_length_mm	RawIntDen_NormBack_NormLen
Pos0	22	302.77605695115574	169	MMStack_Pos0.ome.tif:0061-0223-0091:22	883	304.146	268561	303	268561	109.848	seedling1	pNRT2.1:luc	1209.7417121295002	34.3275	35.241183078566756
Pos0	22	302.77605695115574	170	MMStack_Pos0.ome.tif:0061-0210-0188:22	738	305.935	225780	303	225780	91.347	seedling2	pNRT2.1:luc	2331.269970047055	28.545937499999997	81.6673115061313
Pos0	22	302.77605695115574	171	MMStack_Pos0.ome.tif:0061-0389-0194:22	1128	316.694	357231	304	357231	139.719	seedling3	pNRT2.1:luc	15699.60775909631	43.662187499999995	359.56988547805383
Pos0	22	302.77605695115574	172	MMStack_Pos0.ome.tif:0061-0387-0232:22	1130	312.944	353627	303	353627	140.119	seedling4	pNRT2.1:luc	11490.055645194021	43.787187499999995	262.4067975408108
Pos0	22	302.77605695115574	173	MMStack_Pos0.ome.tif:0061-0362-0335:22	780	306.56	239117	304	239117	96.425	seedling5	pNRT2.1:luc	2951.6755780985113	30.132812499999996	97.95552864833017
Pos0	23	302.0315800803482	177	MMStack_Pos0.ome.tif:0061-0223-0091:23	883	305.18	269474	302	269474	109.848	seedling1	pNRT2.1:luc	2780.1147890525754	34.3275	80.98797725009322
Pos0	23	302.0315800803482	178	MMStack_Pos0.ome.tif:0061-0210-0188:23	738	304.664	224842	303	224842	91.347	seedling2	pNRT2.1:luc	1942.693900703045	28.545937499999997	68.05500434879903
Pos0	23	302.0315800803482	179	MMStack_Pos0.ome.tif:0061-0389-0194:23	1128	319.909	360857	303	360857	139.719	seedling3	pNRT2.1:luc	20165.37766936724	43.662187499999995	461.8499169187811
Pos0	23	302.0315800803482	180	MMStack_Pos0.ome.tif:0061-0387-0232:23	1130	315.787	356839	303	356839	140.119	seedling4	pNRT2.1:luc	15543.314509206568	43.787187499999995	354.9740322829953
Pos0	23	302.0315800803482	181	MMStack_Pos0.ome.tif:0061-0362-0335:23	780	306.333	238940	303	238940	96.425	seedling5	pNRT2.1:luc	3355.3675373284204	30.132812499999996	111.3526172616121
Pos0	24	301.8292555714341	185	MMStack_Pos0.ome.tif:0061-0223-0091:24	883	304.813	269150	302	269150	109.848	seedling1	pNRT2.1:luc	2634.767330423696	34.3275	76.7538367321738
Pos0	24	301.8292555714341	186	MMStack_Pos0.ome.tif:0061-0210-0188:24	738	305.902	225756	303	225756	91.347	seedling2	pNRT2.1:luc	3006.0093882816436	28.545937499999997	105.30427975194873
Pos0	24	301.8292555714341	187	MMStack_Pos0.ome.tif:0061-0389-0194:24	1128	317.768	358442	303	358442	139.719	seedling3	pNRT2.1:luc	17978.599715422373	43.662187499999995	411.76589504184545
Pos0	24	301.8292555714341	188	MMStack_Pos0.ome.tif:0061-0387-0232:24	1130	314.53	355419	303	355419	140.119	seedling4	pNRT2.1:luc	14351.941204279487	43.787187499999995	327.7657694794736
Pos0	24	301.8292555714341	189	MMStack_Pos0.ome.tif:0061-0362-0335:24	780	307.838	240114	303	240114	96.425	seedling5	pNRT2.1:luc	4687.180654281401	30.132812499999996	155.55071914649193
Pos0	25	302.1594075068112	193	MMStack_Pos0.ome.tif:0061-0223-0091:25	883	305.852	270067	302	270067	109.848	seedling1	pNRT2.1:luc	3260.243171485723	34.3275	94.97467544929643
Pos0	25	302.1594075068112	194	MMStack_Pos0.ome.tif:0061-0210-0188:25	738	306.215	225987	303	225987	91.347	seedling2	pNRT2.1:luc	2993.3572599733307	28.545937499999997	104.86105982587999
Pos0	25	302.1594075068112	195	MMStack_Pos0.ome.tif:0061-0389-0194:25	1128	320.655	361699	303	361699	139.719	seedling3	pNRT2.1:luc	20863.18833231699	43.662187499999995	477.8319531589431
Pos0	25	302.1594075068112	196	MMStack_Pos0.ome.tif:0061-0387-0232:25	1130	320.441	362098	303	362098	140.119	seedling4	pNRT2.1:luc	20657.869517303363	43.787187499999995	471.778862647969
Pos0	25	302.1594075068112	197	MMStack_Pos0.ome.tif:0061-0362-0335:25	780	310.094	241873	303	241873	96.425	seedling5	pNRT2.1:luc	6188.66214468726	30.132812499999996	205.37950596836126
Pos0	26	302.9918152111256	201	MMStack_Pos0.ome.tif:0061-0223-0091:26	883	311.024	274634	304	274634	109.848	seedling1	pNRT2.1:luc	7092.227168576093	34.3275	206.60482611830437
Pos0	26	302.9918152111256	202	MMStack_Pos0.ome.tif:0061-0210-0188:26	738	312.886	230910	304	230910	91.347	seedling2	pNRT2.1:luc	7302.040374189324	28.545937499999997	255.79963433288273
Pos0	26	302.9918152111256	203	MMStack_Pos0.ome.tif:0061-0389-0194:26	1128	334.153	376925	304	376925	139.719	seedling3	pNRT2.1:luc	35150.232441850356	43.662187499999995	805.0497342088131
Pos0	26	302.9918152111256	204	MMStack_Pos0.ome.tif:0061-0387-0232:26	1130	331.645	374759	304	374759	140.119	seedling4	pNRT2.1:luc	32378.248811428086	43.787187499999995	739.4457296767026
Pos0	26	302.9918152111256	205	MMStack_Pos0.ome.tif:0061-0362-0335:26	780	317.995	248036	304	248036	96.425	seedling5	pNRT2.1:luc	11702.384135322034	30.132812499999996	388.3601683487738
Pos0	27	302.76087023544073	209	MMStack_Pos0.ome.tif:0061-0223-0091:27	883	314.508	277711	303	277711	109.848	seedling1	pNRT2.1:luc	10373.151582105842	34.3275	302.1819702019035
Pos0	27	302.76087023544073	210	MMStack_Pos0.ome.tif:0061-0210-0188:27	738	313.363	231262	304	231262	91.347	seedling2	pNRT2.1:luc	7824.47776624473	28.545937499999997	274.1012715467737
Pos0	27	302.76087023544073	211	MMStack_Pos0.ome.tif:0061-0389-0194:27	1128	340.65	384253	305	384253	139.719	seedling3	pNRT2.1:luc	42738.73837442283	43.662187499999995	978.8501406262073
