number	plate_info	area	mean	IntDen	median	RawIntDen	length	seedling	genotype	KNO3	plate
10	line47_1mM_plate1_luc.tif:0191-0285	1484	1051.354	1560210	1052	1560210	184.304	background	line47	1mM	plate1
11	line47_1mM_plate1_luc.tif:0206-0389	1587	1048.222	1663529	1049	1663529	196.623	background	line47	1mM	plate1
1	line47_1mM_plate2_luc.tif:0206-0176	1616	1456.662	2353965	1180	2353965	201.779	seedling9	line47	1mM	plate2
2	line47_1mM_plate2_luc.tif:0204-0250	1628	1455.649	2369796	1159	2369796	202.618	seedling10	line47	1mM	plate2
3	line47_1mM_plate2_luc.tif:0202-0286	1538	1437.367	2210670	1172	2210670	191.667	seedling11	line47	1mM	plate2
4	line47_1mM_plate2_luc.tif:0205-0349	1627	1387.563	2257565	1137	2257565	202.467	seedling12	line47	1mM	plate2
5	line47_1mM_plate2_luc.tif:0200-0383	1630	1362.973	2221646	1131	2221646	202.728	seedling13	line47	1mM	plate2
6	line47_1mM_plate2_luc.tif:0206-0445	1607	1401.49	2252195	1145	2252195	200.537	seedling14	line47	1mM	plate2
7	line47_1mM_plate2_luc.tif:0208-0484	1713	1490.594	2553387	1185	2553387	213.647	seedling15	line47	1mM	plate2
8	line47_1mM_plate2_luc.tif:0205-0542	1741	1408.938	2452961	1159	2452961	216.476	seedling16	line47	1mM	plate2
9	line47_1mM_plate2_luc.tif:0200-0211	1436	1051.533	1510001	1052	1510001	178.625	background	line47	1mM	plate2
10	line47_1mM_plate2_luc.tif:0195-0320	1523	1052.269	1602605	1052	1602605	189.525	background	line47	1mM	plate2
11	line47_1mM_plate2_luc.tif:0204-0574	1483	1041.941	1545198	1042	1545198	184.176	background	line47	1mM	plate2
1	line47_1mM_plate3_luc.tif:0171-0253	1433	1313.387	1882084	1120	1882084	178.281	seedling17	line47	1mM	plate3
2	line47_1mM_plate3_luc.tif:0201-0281	1844	1415.581	2610332	1145	2610332	229.41	seedling18	line47	1mM	plate3
3	line47_1mM_plate3_luc.tif:0173-0344	1382	1298.452	1794461	1110	1794461	172.054	seedling19	line47	1mM	plate3
4	line47_1mM_plate3_luc.tif:0177-0404	1553	1451.147	2253631	1147	2253631	193.519	seedling20	line47	1mM	plate3
5	line47_1mM_plate3_luc.tif:0191-0451	1663	1507.619	2507170	1174	2507170	208.207	seedling21	line47	1mM	plate3
6	line47_1mM_plate3_luc.tif:0193-0514	1776	1351.236	2399796	1151	2399796	221.259	seedling22	line47	1mM	plate3
7	line47_1mM_plate3_luc.tif:0194-0558	1780	1412.106	2513549	1158	2513549	221.384	seedling23	line47	1mM	plate3
8	line47_1mM_plate3_luc.tif:0183-0615	1638	1338.844	2193026	1146	2193026	203.727	seedling24	line47	1mM	plate3
9	line47_1mM_plate3_luc.tif:0172-0376	1458	1047.237	1526871	1046	1526871	181.071	background	line47	1mM	plate3
10	line47_1mM_plate3_luc.tif:0194-0227	1556	1042.484	1622105	1042	1622105	193.735	background	line47	1mM	plate3
11	line47_1mM_plate3_luc.tif:0178-0652	1467	1037.509	1522026	1037	1522026	182.275	background	line47	1mM	plate3
1	line47_1mM_plate4_luc.tif:0133-0273	1301	1289.776	1677999	1098	1677999	162.226	seedling25	line47	1mM	plate4
2	line47_1mM_plate4_luc.tif:0139-0334	1389	1187.385	1649278	1081	1649278	172.999	seedling26	line47	1mM	plate4
3	line47_1mM_plate4_luc.tif:0142-0381	1413	1293.604	1827862	1103	1827862	175.848	seedling27	line47	1mM	plate4
4	line47_1mM_plate4_luc.tif:0168-0416	1676	1443.616	2419501	1136	2419501	208.724	seedling28	line47	1mM	plate4
5	line47_1mM_plate4_luc.tif:0169-0487	1656	1408.05	2331730	1151	2331730	206.229	seedling29	line47	1mM	plate4
6	line47_1mM_plate4_luc.tif:0142-0538	1312	1118.612	1467619	1069	1467619	162.827	seedling30	line47	1mM	plate4
7	line47_1mM_plate4_luc.tif:0166-0586	1667	1360.469	2267901	1168	2267901	207.791	seedling31	line47	1mM	plate4
8	line47_1mM_plate4_luc.tif:0146-0634	1408	1189.242	1674453	1090	1674453	175.527	seedling32	line47	1mM	plate4
9	line47_1mM_plate4_luc.tif:0139-0355	1267	1042.527	1320882	1042	1320882	157.546	background	line47	1mM	plate4
10	line47_1mM_plate4_luc.tif:0166-0454	1710	1044.91	1786796	1045	1786796	212.599	background	line47	1mM	plate4
11	line47_1mM_plate4_luc.tif:0152-0657	1300	1033.565	1343635	1033	1343635	161.17	background	line47	1mM	plate4
1	line51_1mM_plate1_luc.tif:0186-0220	1579	1360.574	2148346	1135	2148346	196.53	seedling1	line51	1mM	plate1
2	line51_1mM_plate1_luc.tif:0195-0275	1773	1337.089	2370659	1135	2370659	221.483	seedling2	line51	1mM	plate1
3	line51_1mM_plate1_luc.tif:0174-0322	1425	1293.368	1843049	1121	1843049	177.666	seedling3	line51	1mM	plate1
4	line51_1mM_plate1_luc.tif:0196-0366	1791	1340.911	2401571	1128	2401571	223.555	seedling4	line51	1mM	plate1
