number	plate_info	area	mean	IntDen	median	RawIntDen	slice	length	seedling	genotype	KNO3	plate
5	plate2-10mM-35sluc_luc_120s.tif:0223-0417	1414	360.223	509355.649	322.418	509355.649	1	200.995	seedling13	35s:luc	10mM	plate2
6	plate2-10mM-35sluc_luc_120s.tif:0221-0469	1435	362.936	520812.977	316.461	520812.977	1	203.951	seedling14	35s:luc	10mM	plate2
7	plate2-10mM-35sluc_luc_120s.tif:0229-0212	1589	286.503	455253.698	286.562	455253.698	1	226	background	35s:luc	10mM	plate2
8	plate2-10mM-35sluc_luc_120s.tif:0093-0151	1337	285.061	381126.187	284.997	381126.187	1	190	background	35s:luc	10mM	plate2
9	plate2-10mM-35sluc_luc_120s.tif:0363-0339	1267	287.298	364006.751	287.251	364006.751	1	179.999	background	35s:luc	10mM	plate2
1	plate3-10mM-35sluc_luc_120s.tif:0218-0052	1407	349.11	491197.629	311.348	491197.629	1	199.965	seedling15	35s:luc	10mM	plate3
2	plate3-10mM-35sluc_luc_120s.tif:0222-0122	1596	360.443	575266.629	325.118	575266.629	1	226.976	seedling16	35s:luc	10mM	plate3
3	plate3-10mM-35sluc_luc_120s.tif:0243-0164	1869	378.247	706943.974	336.277	706943.974	1	265.992	seedling17	35s:luc	10mM	plate3
4	plate3-10mM-35sluc_luc_120s.tif:0211-0231	1407	379.306	533683.257	328.677	533683.257	1	199.973	seedling18	35s:luc	10mM	plate3
5	plate3-10mM-35sluc_luc_120s.tif:0212-0299	1414	377.418	533669.493	325.023	533669.493	1	200.991	seedling19	35s:luc	10mM	plate3
6	plate3-10mM-35sluc_luc_120s.tif:0208-0345	1365	374.19	510768.721	322.035	510768.721	1	193.996	seedling20	35s:luc	10mM	plate3
7	plate3-10mM-35sluc_luc_120s.tif:0220-0403	1512	377.31	570492.433	327.285	570492.433	1	214.981	seedling21	35s:luc	10mM	plate3
8	plate3-10mM-35sluc_luc_120s.tif:0201-0450	1365	370.128	505224.681	321.155	505224.681	1	193.981	seedling22	35s:luc	10mM	plate3
9	plate3-10mM-35sluc_luc_120s.tif:0225-0088	1491	286.894	427758.873	286.888	427758.873	1	212	background	35s:luc	10mM	plate3
10	plate3-10mM-35sluc_luc_120s.tif:0061-0333	1491	286.064	426521.367	286.115	426521.367	1	212	background	35s:luc	10mM	plate3
11	plate3-10mM-35sluc_luc_120s.tif:0370-0174	1323	287.305	380103.876	287.26	380103.876	1	187.999	background	35s:luc	10mM	plate3
1	plate4-10mM-35sluc_luc_120s.tif:0225-0064	1463	363.622	531978.637	316.669	531978.637	1	207.995	seedling23	35s:luc	10mM	plate4
2	plate4-10mM-35sluc_luc_120s.tif:0204-0120	1260	368.834	464731.249	318.4	464731.249	1	178.984	seedling24	35s:luc	10mM	plate4
3	plate4-10mM-35sluc_luc_120s.tif:0225-0176	1421	372.203	528900.493	321.689	528900.493	1	201.994	seedling25	35s:luc	10mM	plate4
4	plate4-10mM-35sluc_luc_120s.tif:0220-0242	1456	381.078	554848.91	327.819	554848.91	1	206.977	seedling26	35s:luc	10mM	plate4
5	plate4-10mM-35sluc_luc_120s.tif:0219-0302	1477	384.153	567394.016	328.111	567394.016	1	209.987	seedling27	35s:luc	10mM	plate4
6	plate4-10mM-35sluc_luc_120s.tif:0219-0362	1449	380.657	551571.473	327.773	551571.473	1	205.986	seedling28	35s:luc	10mM	plate4
7	plate4-10mM-35sluc_luc_120s.tif:0217-0413	1337	384.861	514558.973	320.383	514558.973	1	189.972	seedling29	35s:luc	10mM	plate4
8	plate4-10mM-35sluc_luc_120s.tif:0233-0466	1554	363.322	564602.829	319.282	564602.829	1	220.973	seedling30	35s:luc	10mM	plate4
9	plate4-10mM-35sluc_luc_120s.tif:0218-0210	1428	287.462	410495.264	287.509	410495.264	1	203	background	35s:luc	10mM	plate4
10	plate4-10mM-35sluc_luc_120s.tif:0091-0164	1344	286.001	384385.089	285.979	384385.089	1	190.997	background	35s:luc	10mM	plate4
11	plate4-10mM-35sluc_luc_120s.tif:0351-0312	1169	287.708	336330.251	287.741	336330.251	1	166	background	35s:luc	10mM	plate4
1	plate1-1mM-nrt21luc-luc-120.tif:0216-0068	1204	302.39	364077.139	293.73	364077.139	1	170.998	seedling1	NRT2.1:luc	1mM	plate1
2	plate1-1mM-nrt21luc-luc-120.tif:0214-0121	1253	311.498	390307.178	300.997	390307.178	1	177.997	seedling2	NRT2.1:luc	1mM	plate1
3	plate1-1mM-nrt21luc-luc-120.tif:0207-0181	1141	312.127	356136.596	300.946	356136.596	1	161.996	seedling3	NRT2.1:luc	1mM	plate1
4	plate1-1mM-nrt21luc-luc-120.tif:0201-0244	1120	311.117	348450.523	297.461	348450.523	1	158.994	seedling4	NRT2.1:luc	1mM	plate1
5	plate1-1mM-nrt21luc-luc-120.tif:0205-0300	1099	308.261	338778.523	297.074	338778.523	1	155.989	seedling5	NRT2.1:luc	1mM	plate1
