number	plate_info	area	mean	IntDen	median	RawIntDen	length	seedling	genotype	KNO3	plate
11	line64_1mM_plate3_luc.tif:0190-0521	1366	1043.29	1425134	1044	1425134	169.655	background	line64	1mM	plate3
1	line64_1mM_plate4_luc.tif:0209-0204	1407	1241.07	1746185	1105	1746185	175.267	seedling23	line64	1mM	plate4
2	line64_1mM_plate4_luc.tif:0216-0237	1520	1427.106	2169201	1161	2169201	189.192	seedling24	line64	1mM	plate4
3	line64_1mM_plate4_luc.tif:0217-0276	1636	1400.438	2291116	1148	2291116	204.633	seedling25	line64	1mM	plate4
4	line64_1mM_plate4_luc.tif:0213-0358	1548	1340.429	2074984	1119	2074984	192.257	seedling26	line64	1mM	plate4
5	line64_1mM_plate4_luc.tif:0222-0408	1683	1306.69	2199159	1114	2199159	209.89	seedling27	line64	1mM	plate4
6	line64_1mM_plate4_luc.tif:0224-0464	1711	1405.207	2404309	1142	2404309	212.811	seedling28	line64	1mM	plate4
7	line64_1mM_plate4_luc.tif:0231-0516	1752	1361.925	2386093	1162	2386093	218.239	seedling29	line64	1mM	plate4
8	line64_1mM_plate4_luc.tif:0227-0563	1663	1397.168	2323490	1182	2323490	207.026	seedling30	line64	1mM	plate4
9	line64_1mM_plate4_luc.tif:0202-0224	1277	1047.698	1337910	1047	1337910	158.7	background	line64	1mM	plate4
10	line64_1mM_plate4_luc.tif:0211-0327	1385	1043.926	1445838	1044	1445838	172.091	background	line64	1mM	plate4
11	line64_1mM_plate4_luc.tif:0229-0538	1629	1052.541	1714590	1052	1714590	202.674	background	line64	1mM	plate4
