gene	name	type
AT3G11420	GT31	cell_wall
AT3G11540	GT41	cell_wall
AT3G11670	GT4	cell_wall
AT3G12040	GH	cell_wall
AT3G12143	PL	cell_wall
AT3G12500	GH19	cell_wall
AT3G12685	AA	cell_wall
AT3G12880	CE	cell_wall
AT3G13520	GT	cell_wall
AT3G13560	GH17	cell_wall
AT3G13750	GH/GH35	cell_wall
AT3G13784	GH32	cell_wall
AT3G13790	GH32	cell_wall
AT3G14040	GH28	cell_wall
AT3G14300	CE8	cell_wall
AT3G14310	CE8	cell_wall
AT3G14570	CBM/GT48	cell_wall
AT3G14780	GT48	cell_wall
AT3G14840	CBM57	cell_wall
AT3G14960	GT31	cell_wall
AT3G15350	GT14	cell_wall
AT3G15356	AA	cell_wall
AT3G15370	CBM	cell_wall
AT3G15720	GH28	cell_wall
AT3G15800	GH17	cell_wall
AT3G15940	GT4	cell_wall
AT3G16420	CBM	cell_wall
AT3G16430	CBM	cell_wall
AT3G16520	GT1	cell_wall
AT3G16720	GH	cell_wall
AT3G16850	GH28	cell_wall
AT3G16920	GH19	cell_wall
AT3G17060	CE8	cell_wall
AT3G17070	AA	cell_wall
AT3G17130	CE	cell_wall
AT3G17140	GH	cell_wall
AT3G17150	CE	cell_wall
AT3G17152	CE	cell_wall
AT3G17220	CE	cell_wall
AT3G17225	CE	cell_wall
AT3G17230	CE	cell_wall
AT3G18070	CBM/GH1	cell_wall
AT3G18080	GH1	cell_wall
AT3G18170	GT61	cell_wall
AT3G18180	GT61	cell_wall
AT3G18220	AA	cell_wall
AT3G18660	GT8	cell_wall
AT3G19280	GT10	cell_wall
AT3G19430	Ext	cell_wall
AT3G19620	GH3	cell_wall
AT3G20440	GH13	cell_wall
AT3G20865	GT	cell_wall
AT3G21160	GH47	cell_wall
AT3G21190	GTnc	cell_wall
AT3G21310	GTnc	cell_wall
AT3G21370	CBM/GH1	cell_wall
AT3G21560	GT1	cell_wall
AT3G21610	AA	cell_wall
AT3G21750	GT1	cell_wall
AT3G21760	GT1	cell_wall
AT3G21770	AA	cell_wall
AT3G21780	GT1	cell_wall
AT3G21790	GT1	cell_wall
AT3G21800	GT1	cell_wall
AT3G22250	GT1	cell_wall
AT3G22800	Ext	cell_wall
AT3G23640	CBM/GH31	cell_wall
AT3G23730	GH16	cell_wall
AT3G23770	GH17	cell_wall
AT3G23780	AA	cell_wall
AT3G23920	GH14	cell_wall
AT3G24040	GT14	cell_wall
AT3G24130	CE8	cell_wall
AT3G24180	CBM/GH116	cell_wall
AT3G24230	PL1	cell_wall
AT3G24330	GH17	cell_wall
AT3G24480	Ext	cell_wall
AT3G24670	PL1	cell_wall
AT3G25020	PL	cell_wall
AT3G25050	GH16	cell_wall
AT3G25140	GT8	cell_wall
AT3G26110	GT	cell_wall
AT3G26130	GH5	cell_wall
AT3G26140	GH5	cell_wall
AT3G26370	GTnc	cell_wall
AT3G26380	GH27	cell_wall
AT3G26440	GTnc	cell_wall
AT3G26445	GT17	cell_wall
AT3G26610	GH28	cell_wall
AT3G26720	GH38	cell_wall
